Date,Timestamp,Latitude,Longitude,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,Final.out
Sat Jun 09 18:07:10 PDT 2018,1528592830.25,29.8714375,-131.7936219,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225
Sat Jun 09 18:07:11 PDT 2018,1528592831.248,29.8714537,-131.7938387,-15.4342508143677,-13.2775119617225,-13.2775119617225,-11.2232042067151,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-18.0641329986543,-13.2775119617225,-17.4995856804313,-13.2775119617225,-13.2775119617225,-13.2775119617225,-10.7431426080924,-13.2775119617225,-13.2775119617225
Sat Jun 09 18:07:12 PDT 2018,1528592832.247,29.8715154,-131.7940006,-14.715337863486,-13.2775119617225,-17.5593528802838,-11.9079734583843,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-16.4685926530104,-18.4486272365345,-16.092227774195,-13.2775119617225,-13.2775119617225,-13.2775119617225,-14.9670915308092,-13.2775119617225,-13.9964249126042
Sat Jun 09 18:07:13 PDT 2018,1528592833.233,29.8716003,-131.7940936,-11.1207731090773,-13.2775119617225,-11.671821617262,-12.2503580842188,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-8.49089092479067,-11.338343733668,-9.0554382430137,-13.2775119617225,-13.2775119617225,-13.2775119617225,-14.5446966385375,-13.2775119617225,-13.2775119617225
Sat Jun 09 18:07:14 PDT 2018,1528592834.246,29.8716856,-131.7941376,-11.5521208796063,-13.2775119617225,-11.9929596861541,-9.1688982045636,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-9.44821513217703,-11.7261773792789,-9.89985298675546,5.66065965624687,-13.2775119617225,-13.2775119617225,-14.2912597031745,12.6847579696904,-12.5018446705007
Sat Jun 09 18:07:15 PDT 2018,1528592835.236,29.8717644,-131.7941648,-11.839686059959,-13.2775119617225,-12.2070517320822,-9.85366716409008,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-10.0864312704346,-11.9847331430195,-10.46279614925,2.50429771991864,-13.2775119617225,-13.2775119617225,-14.1223017462659,-18.6863181974335,-13.2775119617225
Sat Jun 09 18:07:16 PDT 2018,1528592836.244,29.8718418,-131.7941925,-12.0450897602109,-8.81805442595059,-12.3599746220308,-6.82223861470726,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-10.5422999406186,-12.1694158314056,-10.8648984081746,0.249753479684193,-13.2775119617225,-13.2775119617225,-14.0016174913311,9.90308619132474,-12.7234638965641
Sat Jun 09 18:07:17 PDT 2018,1528592837.244,29.8719225,-131.7942253,-12.1991425353999,-4.82240014213007,-6.85386032505589,-4.03411112900863,-13.2775119617225,-13.2775119617225,-13.2775119617225,-13.2775119617225,-10.8842014432566,-12.3079278476953,-11.1664751023681,-1.44115470049164,-13.2775119617225,-13.2775119617225,-13.91110430013,-21.390721315289,-13.2775119617225
Sat Jun 09 18:07:18 PDT 2018,1528592838.25,29.8720062,-131.7942631,-14.2357578495114,-5.76185701097368,-7.56759939579662,-1.40905493802577,-13.2775119617225,-13.2775119617225,-13.2775119617225,8.87475902422911,-11.1501248341972,-12.4156594159205,-11.4010347534075,-2.75630550729507,-13.2775119617225,-13.2775119617225,-13.8407051514181,-20.4892536093372,-13.2775119617225
Sat Jun 09 18:07:19 PDT 2018,1528592839.249,29.872091,-131.7942993,-12.1991768156559,-6.51342250604856,-8.13859065238921,1.101851346655,-13.2775119617225,-13.2775119617225,-13.2775119617225,-15.7696424476421,-11.3628635469498,-12.5018446705007,-11.588682474239,-3.80842615273782,-13.2775119617225,-13.2775119617225,-13.7843858324485,-19.7680794445757,-13.2775119617225
Sat Jun 09 18:07:20 PDT 2018,1528592840.249,29.8721745,-131.7943211,-10.3362229147987,-2.39860951713369,-2.76689445130626,-0.205363499561134,-13.2775119617225,-13.2775119617225,-13.2775119617225,-15.5430851307403,-11.5369224937473,-12.5723598787936,-11.7422124276466,-4.66925213537279,-13.2775119617225,-13.2775119617225,-13.7383063896552,-19.1780278552254,-13.2775119617225
Sat Jun 09 18:07:21 PDT 2018,1528592841.241,29.872252,-131.7943187,-8.60400548477221,1.46471539664697,-3.64277924384095,2.47032261576343,-13.2775119617225,-13.2775119617225,-13.2775119617225,-15.3542873666555,-11.6819716160786,-12.631122552371,-11.8701540554862,-5.38660712090193,-13.2775119617225,-13.2775119617225,-9.05356303900574,-18.6863181974335,-12.9543172570468
Sat Jun 09 18:07:22 PDT 2018,1528592842.245,29.8723225,-131.7942947,-2.99068195792611,9.93568336920247,13.4040710872017,12.6366511694073,-13.2775119617225,-13.2775119617225,2.20975685335803,7.80974599605836,-2.96927099832688,-5.52083904950451,-11.9784123559659,15.8581250271379,-13.2775119617225,-13.2775119617225,-4.69890278023069,-18.2702561793019,-8.74962570273523
Sat Jun 09 18:07:23 PDT 2018,1528592843.245,29.872381,-131.7942496,-3.72545552962585,3.44651899133762,-0.430683272871626,10.7856395171837,-13.2775119617225,-13.2775119617225,1.10352336656656,6.30351328478829,-3.70557392428371,-6.07488711466294,-4.23145722357869,13.7770080993622,10.6199761982193,-13.2775119617225,-5.31166057890868,-17.913631592332,-4.77155890124368
Sat Jun 09 18:07:24 PDT 2018,1528592844.242,29.8724267,-131.7941894,-8.38881171481415,7.18743735563905,4.70743556985243,9.18142941858996,-13.2775119617225,-13.2775119617225,0.144787678013956,4.99811160168757,-4.34370312677963,-6.55506210446691,-12.7144793365241,11.9733734286232,9.02681032088983,-13.2775119617225,-5.84271733776294,12.6847579696904,-6.19888972111493
Sat Jun 09 18:07:25 PDT 2018,1528592845.242,29.8724674,-131.7941226,-8.69435548024592,5.90837802330395,3.583376349129,7.77774558232043,-13.2775119617225,-13.2775119617225,-16.4233634397857,3.85588512897444,-13.875554333371,-6.97521522054539,-12.749668875599,-11.7979649368155,-16.4944815217147,-13.2775119617225,-15.8120323747224,-19.3624189768974,-13.5765331475468
Sat Jun 09 18:07:26 PDT 2018,1528592846.272,29.8725057,-131.7940547,-8.96395292033278,4.77979625947887,2.59155938966715,6.53920102090614,-13.2775119617225,-13.2775119617225,-0.447372600209711,2.84803824128639,-4.83169706630028,-7.34593855826169,-12.7807184689004,10.3951929060597,7.91664043351998,-13.2775119617225,-10.8923653318306,-19.0044832701224,-9.92815912608167
Sat Jun 09 18:07:27 PDT 2018,1528592847.246,29.8725482,-131.7939878,-5.12910751835692,8.69105501471143,7.77684653017425,13.1977532391739,-13.2775119617225,-13.2775119617225,-1.16015812029376,1.95217434111923,-5.30090900493485,-7.67547041400951,-12.8083181073905,9.08004263562735,6.73918752267318,-13.2775119617225,-6.23697047388256,11.9635838049289,-5.7689397394087
Sat Jun 09 18:07:28 PDT 2018,1528592848.237,29.8725959,-131.7939258,-7.60152195188501,7.5348146475307,6.66872239902179,11.8043182286004,-13.2775119617225,-13.2775119617225,-1.79791358563211,1.15061190412756,-5.72073021318683,-7.97031470599441,-4.83456520796183,7.90332923576683,5.68567702349445,-13.2775119617225,-6.60752528903203,10.6351050803683,-6.16412775110943
Sat Jun 09 18:07:29 PDT 2018,1528592849.231,29.8726445,-131.793866,-5.83609387993329,16.3801147834085,5.67141068098458,18.355351440605,-13.2775119617225,-13.2775119617225,-2.37189350443663,0.429205710835053,-6.09856930061362,-8.23567456878081,-13.2773777676667,6.84428717589236,4.73751757423361,-13.2775119617225,-6.94102462266655,9.4394742282638,-6.51979696164008
Sat Jun 09 18:07:30 PDT 2018,1528592850.243,29.8726927,-131.7938045,-4.13608364077531,19.9227996606867,17.0038779538302,24.674954743245,-13.2775119617225,-13.2775119617225,-2.89120866906929,-0.223495130715307,-6.44042371304737,-1.08728035365756,-5.23661701799333,5.88610626457737,3.87965902490236,-13.2775119617225,-2.4153919176137,8.35771298112159,-3.5136461549223
Sat Jun 09 18:07:31 PDT 2018,1528592851.238,29.8727432,-131.7937423,-4.55160310990927,13.4474805130148,9.49566226919049,15.1061262841258,-13.2775119617225,-13.2775119617225,-3.36331336418989,-0.816859532124725,-6.75120045162351,-1.64138179038778,-5.60211224270829,5.01503270883647,3.09978761641942,-13.2775119617225,-2.90912464689137,7.37429366553777,-3.95745823704958
Sat Jun 09 18:07:32 PDT 2018,1528592852.245,29.872792,-131.7936828,-9.05758144385771,7.30823723933255,-3.78246743257584,9.94332619986519,-13.2775119617225,-13.2775119617225,-19.8427672202893,-1.35862702906376,-7.03495312597564,-9.56790603703638,-14.0115522709662,4.21970467968173,2.38773111302194,-13.2775119617225,-8.20828285882675,-24.5654554101629,-11.4227089993794
Sat Jun 09 18:07:33 PDT 2018,1528592853.252,29.872836,-131.7936181,-13.3671613496736,6.45049768928859,1.97802707785654,16.8493820043156,-13.2775119617225,-13.2775119617225,-3.49041847441467,-1.85524723459121,-7.29505974413176,-9.72247295056497,-13.980967258081,3.49065398628988,1.73501265157426,-13.2775119617225,-3.56195947699154,7.00551142219384,-8.50876634734836
Sat Jun 09 18:07:34 PDT 2018,1528592854.262,29.8728663,-131.7935356,-7.15183838807958,15.6513560481816,13.7004808141517,19.5885750318612,-13.2775119617225,-13.2775119617225,-3.88190221390698,-2.31213782367646,-7.53435783283539,-9.86467451101127,-5.84773576924121,2.81992734836939,1.13451166704238,-13.2775119617225,-8.81657073534874,6.19419048683718,-7.34309811045749
Sat Jun 09 18:07:35 PDT 2018,1528592855.244,29.872863,-131.7934298,-5.31332424167609,14.5387072785699,6.48615530690559,18.3244947628772,-13.2775119617225,-13.2775119617225,-4.2432718195922,-2.73388298283207,1.44979698831186,-2.53641268649391,-6.13349639202895,2.20079506721201,0.580203065936044,-13.2775119617225,-4.11435817938399,5.44527885420027,-4.17881499948809
